"id","category","difficulty","option1","option2","option3","option4","title","right_answer"
1,"Science","Easy","Protons","Electrons","Neutrons","Molecules","What are the subatomic particles that make up an atom?","Protons"
2,"History","Medium","1776","1492","1945","1066","In what year was the United States Declaration of Independence signed?","1776"
3,"Geography","Hard","Pacific","Atlantic","Indian","Arctic","Which ocean is the largest?","Indian"
4,"Java","Medium","JDK, JRE, and JVM are the same thing.","JDK contains JRE and additional development tools.","JRE contains JVM and additional development tools.","JVM contains JDK and additional development tools.","What is the difference between JDK, JRE, and JVM?","JDK contains JRE and additional development tools."
5,"Spring","Hard","It is the process of the container managing the lifecycle of beans.","It is the process of injecting dependencies into a bean.","It is the process of a bean controlling the lifecycle of the container.","It is the process of a bean providing dependencies to other beans.","What is inversion of control (IoC) in Spring?","It is the process of the container managing the lifecycle of beans."
6,"Java","Easy","Checked exceptions must be caught or declared, while unchecked exceptions do not have this requirement.","Checked exceptions are thrown intentionally by the programmer, while unchecked exceptions are thrown automatically by the JVM.","Checked exceptions are subclasses of RuntimeException, while unchecked exceptions are subclasses of Exception.","Checked exceptions are caught at compile time, while unchecked exceptions are caught at runtime.","What is the difference between checked and unchecked exceptions in Java?","Checked exceptions must be caught or declared, while unchecked exceptions do not have this requirement."
7,"Java","Medium","public, private, protected, default","static, final, abstract, synchronized","int, double, boolean, String","true, false, null, 0","What are the access modifiers in Java?","public, private, protected, default"
8,"Spring","Hard","To inject dependencies automatically","To specify a bean as a prototype","To configure aspect-oriented programming","To define a transactional method","What is the purpose of the @Autowired annotation in Spring?","To inject dependencies automatically"
9,"Java","Easy","The ability of a method to have multiple forms","The process of converting a class into an interface","The process of converting a subclass into a superclass","The ability of a class to have multiple constructors","What is polymorphism in Java?","The ability of a method to have multiple forms"
10,"SQL","Medium","INNER JOIN returns only the rows that have matching values in both tables, while OUTER JOIN returns all rows from both tables, combining them when there is no match.","INNER JOIN is used to combine rows from two or more tables based on a related column between them, while OUTER JOIN is used to combine rows from two or more tables, including unmatched rows.","INNER JOIN is equivalent to CROSS JOIN, while OUTER JOIN is equivalent to NATURAL JOIN.","INNER JOIN is faster than OUTER JOIN when querying large datasets.","What is the difference between INNER JOIN and OUTER JOIN in SQL?","INNER JOIN returns only the rows that have matching values in both tables, while OUTER JOIN returns all rows from both tables, combining them when there is no match."
11,"SQL","Hard","A query that can be nested within another query","A query that returns multiple results","A query that contains multiple JOIN statements","A query that is executed in a loop","What is a subquery in SQL?","A query that can be nested within another query"
12,"SQL","Easy","To group rows that have the same values into summary rows","To filter rows based on a specified condition","To sort the rows returned by a query","To join multiple tables based on a related column","What is the purpose of the GROUP BY clause in SQL?","To group rows that have the same values into summary rows"
13,"Java","Medium","== compares references or memory addresses, while equals() compares the actual contents of objects.","== is used for primitive data types, while equals() is used for objects.","== is a static method, while equals() is an instance method.","== can be overridden in subclasses, while equals() cannot.","What is the difference between == and equals() method in Java?","== compares references or memory addresses, while equals() compares the actual contents of objects."
14,"Java","Hard","Supports multiple inheritance","Provides a way to achieve abstraction and multiple inheritance","Allows for method implementation within interfaces","Provides a way to define constants","What are the advantages of using interfaces in Java?","Provides a way to achieve abstraction and multiple inheritance"
15,"Java","Easy","To define a constant variable that cannot be modified","To specify the final method that cannot be overridden","To indicate that a class cannot be extended","To mark a variable as private","What is the purpose of the keyword ""final"" in Java?","To define a constant variable that cannot be modified"
16,"Physics","Medium","KE = 0.5 * mass * velocity^2","KE = mass * velocity","KE = 0.5 * mass * acceleration^2","KE = mass * acceleration","What is the formula for calculating kinetic energy?","KE = 0.5 * mass * velocity^2"
17,"Physics","Hard","Ampere","Ohm","Volt","Watt","What is the unit of measurement for electric current?","Ampere"
18,"Physics","Easy","An object at rest will stay at rest, and an object in motion will stay in motion unless acted upon by an external force.","Force equals mass times acceleration.","For every action, there is an equal and opposite reaction.","The rate of change of momentum of a body is directly proportional to the force applied, and takes place in the direction of the force.","What is Newton's first law of motion?","An object at rest will stay at rest, and an object in motion will stay in motion unless acted upon by an external force."
19,"Electronics","Medium","To control the flow of current in one direction","To amplify electronic signals","To store electrical charge","To regulate voltage","What is the function of a diode in an electronic circuit?","To control the flow of current in one direction"
20,"Electronics","Hard","Analog signals are continuous, while digital signals are discrete.","Analog signals use binary code, while digital signals use decimal code.","Analog signals have higher resolution than digital signals.","Analog signals are more immune to noise than digital signals.","What is the difference between analog and digital signals?","Analog signals are continuous, while digital signals are discrete."
21,"Electronics","Easy","Light Emitting Diode","Low Energy Display","Long Electronic Device","Luminous Energy Detector","What does LED stand for?","Light Emitting Diode"
